dataset,method,sas,GPT Score,precision,recall,f1
easy_single,tfidf,38.25,49.84,35.37,53.06,41.92
easy_single,bm25,36.04,46.88,35.63,52.72,42.01
easy_single,dense,48.1,73.6,38.12,63.69,47.12
easy_single,tfidf_dense,43.03,65.1,37.23,59.93,45.33
easy_single,bm25_dense,42.23,62.57,37.01,58.27,44.71
easy_single,dense_tfidf,42.22,61.88,36.79,58.42,44.48
easy_single,dense_bm25,42.7,63.12,36.89,58.68,44.63
easy_single,dense_tfidf_parallel,47.68,73.36,37.95,63.71,46.97
easy_single,dense_bm25_parallel,48.06,73.42,37.97,63.88,47.03
easy_single,KG_dense,43.28,67.71,37.14,59.41,45.08
medium_single,tfidf,38.44,70.22,36.48,60.85,45.16
medium_single,bm25,38.81,69.89,36.61,60.62,45.18
medium_single,dense,41.25,75.82,37.07,62.06,45.92
medium_single,tfidf_dense,39.72,73.79,37.13,61.45,45.78
medium_single,bm25_dense,40.43,74.95,36.82,60.94,45.42
medium_single,dense_tfidf,37.95,69.78,36.22,61.15,45.01
medium_single,dense_bm25,37.89,69.56,36.92,60.35,45.37
medium_single,dense_tfidf_parallel,39.81,84.07,37.08,61.23,45.73
medium_single,dense_bm25_parallel,39.24,72.97,36.64,61.33,45.37
medium_single,KG_dense,33.28,61.21,35.6,55.59,42.83
medium_multi,tfidf,52.02,52.29,57.58,62.3,59.56
medium_multi,bm25,53.21,54.29,56.52,61.73,58.74
medium_multi,dense,52.39,53.71,57.72,63.14,60.09
medium_multi,tfidf_dense,56.57,61.14,57.39,62.65,59.5
medium_multi,bm25_dense,56.35,61.71,58.14,63.13,60.19
medium_multi,dense_tfidf,54.78,57.14,55.84,62.2,58.56
medium_multi,dense_bm25,54.9,54.71,56.95,62.42,59.32
medium_multi,dense_tfidf_parallel,50.21,44.57,55,61.45,57.81
medium_multi,dense_bm25_parallel,49.01,44.57,55.27,60.53,57.54
medium_multi,KG_dense,52.95,53,58.27,62.47,60.05
hard_single,tfidf,13.75,27.27,38.46,48.08,42.64
hard_single,bm25,11.11,21.82,39.38,47.83,43.1
hard_single,dense,15.68,33.64,40.17,50.76,44.6
hard_single,tfidf_dense,11.5,25.45,38.45,46.51,41.99
hard_single,bm25_dense,6.807,30,38.34,47.21,42.2
hard_single,dense_tfidf,18.87,30,39.59,49.24,43.81
hard_single,dense_bm25,19.77,27.27,38.12,47.32,42.1
hard_single,dense_tfidf_parallel,16.16,30,40.71,51.97,45.46
hard_single,dense_bm25_parallel,8.644,18.18,40.66,48.66,44.2
hard_single,KG_dense,16.8,28.18,41.22,50.78,45.35
hard_multi,tfidf,55,48.33,63.71,64.02,63.75
hard_multi,bm25,54.2,50.83,63.48,64.08,63.62
hard_multi,dense,58.75,64.17,63.97,63.92,63.64
hard_multi,tfidf_dense,53.98,60.83,62.88,63.34,62.87
hard_multi,bm25_dense,56.29,65.42,63.35,63.83,63.38
hard_multi,dense_tfidf,56.5,55,62.32,63.05,62.54
hard_multi,dense_bm25,56.64,57.08,63.06,63.53,63.13
hard_multi,dense_tfidf_parallel,57.5,50.42,62.62,63.72,62.85
hard_multi,dense_bm25_parallel,55.05,53.75,62.19,62.92,62.23
hard_multi,KG_dense,56.86,58.75,62.07,63.19,62.36
