dataset,method,sas,GPT Score,precision,recall,f1
easy_single,tfidf,38.39,51.05,35.8,53.29,42.29
easy_single,bm25,37.31,50.36,35.29,53.16,41.9
easy_single,dense,38.49,52.65,35.34,54.68,42.32
easy_single,tfidf_dense,37.82,54.94,35.93,54.84,42.8
easy_single,bm25_dense,37.09,51.84,36.05,53.96,42.63
easy_single,dense_tfidf,43.21,63.1,35.86,58.1,43.71
easy_single,dense_bm25,43.76,64.07,36.06,58.36,43.97
easy_single,dense_tfidf_parallel,37.98,52.27,35.26,54.6,42.22
easy_single,dense_bm25_parallel,38.82,53.38,35.12,54.46,42.06
easy_single,KG_dense,37.14,54.17,35.54,54.43,42.42
medium_single,tfidf,36.81,65.71,36.52,59.92,44.87
medium_single,bm25,36.27,65.77,36.76,60.42,45.23
medium_single,dense,34.51,60.88,35.97,57.2,43.63
medium_single,tfidf_dense,34.28,59.29,35.51,56.49,43.03
medium_single,bm25_dense,32.69,57.42,36.29,55.8,43.48
medium_single,dense_tfidf,36.9,68.19,36.58,60.03,44.95
medium_single,dense_bm25,37.1,68.63,37.36,60.63,45.76
medium_single,dense_tfidf_parallel,36.11,66.98,36.34,59.2,44.57
medium_single,dense_bm25_parallel,36.33,68.68,36.46,59.83,44.82
medium_single,KG_dense,29.64,54.01,35.26,53.23,41.84
medium_multi,tfidf,54.45,53,56.5,60.9,58.37
medium_multi,bm25,54.52,51.86,56.79,61.13,58.64
medium_multi,dense,51.7,48.14,57.32,62.01,59.31
medium_multi,tfidf_dense,53.68,56.14,57.34,62.29,59.46
medium_multi,bm25_dense,51.95,49.86,55.84,61.07,58.12
medium_multi,dense_tfidf,50.91,49.86,55.57,60.49,57.62
medium_multi,dense_bm25,54.14,56.14,57.13,61.3,58.86
medium_multi,dense_tfidf_parallel,49.86,48,56.02,60.46,57.92
medium_multi,dense_bm25_parallel,51.26,52.57,56.68,61.15,58.65
medium_multi,KG_dense,51.96,50.57,57.77,62.31,59.7
hard_single,tfidf,12.32,20.91,38.57,48.36,42.8
hard_single,bm25,13.84,24.55,40.23,48.84,43.97
hard_single,dense,9.21,23.64,39.9,48.09,43.5
hard_single,tfidf_dense,13.32,29.09,40.8,51.95,45.46
hard_single,bm25_dense,17.83,37.27,42.16,51.96,46.3
hard_single,dense_tfidf,13.32,31.82,39.85,48.9,43.71
hard_single,dense_bm25,15.49,29.09,40.87,51.52,45.46
hard_single,dense_tfidf_parallel,12.84,31.82,39.51,49.44,43.87
hard_single,dense_bm25_parallel,11.69,25.45,38.94,48.27,43.02
hard_single,KG_dense,12.82,26.36,40.5,49.11,44.31
hard_multi,tfidf,50.2,47.5,62.12,63.06,62.46
hard_multi,bm25,53.74,46.67,62.16,60.89,61.35
hard_multi,dense,52.93,50.42,62.95,63.42,63.01
hard_multi,tfidf_dense,54.44,57.08,63.23,63.78,63.34
hard_multi,bm25_dense,56.44,57.92,63.33,62.7,62.9
hard_multi,dense_tfidf,58.21,52.08,62.54,61.97,62.03
hard_multi,dense_bm25,57.67,56.25,61.95,62.3,62
hard_multi,dense_tfidf_parallel,54.99,51.25,61.11,61.46,61.13
hard_multi,dense_bm25_parallel,55.41,57.5,59.98,61.64,60.66
hard_multi,KG_dense,53.55,54.58,64.02,64.63,64.23
