id,category,method,recall@5,recall@10,precision@5,precision@10,mrr,ndcg@5,ndcg@10
209,easy_single_labeled,KG_dense,50,50,50,50,33.33,36.33,36.33
7,easy_single_labeled,KG_dense,50,50,50,50,100,83.19,83.19
80,easy_single_labeled,KG_dense,33.33,33.33,28.57,28.57,50,33.57,33.57
205,easy_single_labeled,KG_dense,0,0,0,0,0,0,0
118,easy_single_labeled,KG_dense,12.5,12.5,16.67,16.67,25,12.32,12.32
185,easy_single_labeled,KG_dense,50,50,50,50,100,63.67,63.67
201,easy_single_labeled,KG_dense,50,50,50,50,100,83.19,83.19
199,easy_single_labeled,KG_dense,66.67,66.67,66.67,66.67,100,70.39,70.39
10,easy_single_labeled,KG_dense,50,50,50,50,100,58.56,58.56
31,easy_single_labeled,KG_dense,33.33,33.33,25,25,50,29.61,29.61
252,easy_single_labeled,KG_dense,25,25,25,25,25,16.81,16.81
220,easy_single_labeled,KG_dense,25,25,25,25,50,24.63,24.63
228,easy_single_labeled,KG_dense,25,25,25,25,100,63.67,63.67
223,easy_single_labeled,KG_dense,66.67,66.67,57.14,57.14,100,73.46,73.46
137,easy_single_labeled,KG_dense,62.5,62.5,62.5,62.5,100,69.52,69.52
69,easy_single_labeled,KG_dense,25,25,25,25,50,24.63,24.63
198,easy_single_labeled,KG_dense,33.33,33.33,33.33,33.33,100,46.93,46.93
16,easy_single_labeled,KG_dense,50,50,50,50,100,58.56,58.56
97,easy_single_labeled,KG_dense,50,50,50,50,33.33,36.33,36.33
25,easy_single_labeled,KG_dense,100,100,100,100,100,100,100
233,easy_single_labeled,KG_dense,0,0,0,0,0,0,0
20,easy_single_labeled,KG_dense,25,25,25,25,100,63.67,63.67
121,easy_single_labeled,KG_dense,0,0,0,0,0,0,0
153,easy_single_labeled,KG_dense,50,50,50,50,100,58.56,58.56
34,easy_single_labeled,KG_dense,33.33,33.33,25,25,66.67,35.2,35.2
125,easy_single_labeled,KG_dense,100,100,100,100,100,100,100
251,easy_single_labeled,KG_dense,37.5,37.5,37.5,37.5,62.5,36.33,36.33
207,easy_single_labeled,KG_dense,0,0,0,0,0,0,0
11,easy_single_labeled,KG_dense,50,50,50,50,100,83.19,83.19
181,easy_single_labeled,KG_dense,41.67,41.67,41.67,41.67,58.33,44.54,44.54
174,easy_single_labeled,KG_dense,33.33,33.33,25,25,50,53.07,53.07
98,easy_single_labeled,KG_dense,25,25,25,25,41.67,22.07,22.07
149,easy_single_labeled,KG_dense,37.5,37.5,37.5,37.5,66.67,41.59,41.59
247,easy_single_labeled,KG_dense,58.33,58.33,58.33,58.33,100,71.47,71.47
221,easy_single_labeled,KG_dense,33.33,33.33,33.33,33.33,100,76.54,76.54
26,easy_single_labeled,KG_dense,50,50,50,50,100,100,100
87,easy_single_labeled,KG_dense,25,25,25,25,33.33,19.52,19.52
19,easy_single_labeled,KG_dense,100,100,100,100,100,100,100
76,easy_single_labeled,KG_dense,0,0,0,0,0,0,0
138,easy_single_labeled,KG_dense,66.67,66.67,50,50,50,49.82,49.82
195,easy_single_labeled,KG_dense,75,75,75,75,100,100,100
176,easy_single_labeled,KG_dense,0,0,0,0,0,0,0
237,easy_single_labeled,KG_dense,0,0,0,0,0,0,0
163,easy_single_labeled,KG_dense,0,0,0,0,0,0,0
46,easy_single_labeled,KG_dense,33.33,33.33,25,25,50,49.82,49.82
67,easy_single_labeled,KG_dense,25,25,25,25,33.33,19.52,19.52
17,easy_single_labeled,KG_dense,50,50,50,50,100,55.85,55.85
68,easy_single_labeled,KG_dense,0,0,0,0,0,0,0
206,easy_single_labeled,KG_dense,75,75,75,75,100,100,100
200,easy_single_labeled,KG_dense,100,100,100,100,100,100,100
177,easy_single_labeled,KG_dense,25,25,25,25,77.78,44.64,44.64
41,medium_single_labeled,KG_dense,50,50,50,50,100,55.85,55.85
23,medium_single_labeled,KG_dense,25,25,25,25,100,39.04,39.04
56,medium_single_labeled,KG_dense,25,25,25,25,100,63.67,63.67
89,medium_single_labeled,KG_dense,25,25,28.57,28.57,50,41.59,41.59
