dataset,method,recall@5,recall@10,precision@5,precision@10,mrr,ndcg@5,ndcg@10
easy_single,tfidf,8.389,12.42,0.4941,0.7312,6.473,5.913,7.361
easy_single,bm25,8.389,15.44,0.4941,0.9091,6.363,5.909,8.245
easy_single,dense,15.1,21.14,0.8893,1.245,11.78,11.32,13.35
medium_single,tfidf,13.6,18.4,0.9341,1.264,12.22,11.06,12.67
medium_single,bm25,12,16,0.8242,1.099,11.7,11.45,12.89
medium_single,dense,15.2,23.2,0.348,0.5311,15.06,12.09,15.69
medium_multi,tfidf,0.6803,0.6803,0.1429,0.1429,3.212,1.752,1.752
medium_multi,bm25,2.721,4.082,0.5714,0.8571,6.295,3.289,3.629
medium_multi,dense,3.401,4.082,0.2381,0.2857,9.66,4.925,5.138
hard_single,tfidf,5.556,11.11,0.4545,0.9091,4.545,2.787,6.025
hard_single,bm25,11.11,11.11,0.9091,0.9091,4.545,6.316,6.316
hard_single,dense,11.11,22.22,0.303,0.6061,20.79,8.532,11.57
hard_multi,tfidf,8.333,8.333,0.8333,0.8333,5.556,5.11,5.11
hard_multi,bm25,4.167,4.167,0.4167,0.4167,2.778,2.555,2.555
hard_multi,dense,4.167,4.167,0.1389,0.1389,8.712,5.11,5.11
easy_single,tfidf,8.389,12.42,0.4941,0.7312,6.473,5.913,7.361
easy_single,bm25,8.389,15.44,0.4941,0.9091,6.363,5.909,8.245
easy_single,dense,15.1,21.14,0.8893,1.245,11.78,11.32,13.35
easy_single,tfidf_dense,2.013,10.4,0.1935,0.9997,2.614,0.8926,3.772
easy_single,bm25_dense,2.685,12.08,0.3073,1.383,3.1,1.47,4.662
easy_single,dense_tfidf,12.75,17.45,1.225,1.677,9.328,9.191,10.82
easy_single,dense_bm25,12.42,16.78,1.421,1.921,8.201,8.377,9.929
medium_single,tfidf,13.6,18.4,0.9341,1.264,12.22,11.06,12.67
medium_single,bm25,12,16,0.8242,1.099,11.7,11.45,12.89
medium_single,dense,15.2,23.2,0.348,0.5311,15.06,12.09,15.69
medium_single,tfidf_dense,3.2,5.6,0.2227,0.3898,2.404,1.814,3.195
medium_single,bm25_dense,3.2,8.8,0.2248,0.6183,3.224,2.141,4.97
medium_single,dense_tfidf,16.8,20.8,1.24,1.535,16.94,14.82,16.27
medium_single,dense_bm25,17.6,21.6,1.334,1.637,14.59,14.47,16.01
medium_multi,tfidf,0.6803,0.6803,0.1429,0.1429,3.212,1.752,1.752
medium_multi,bm25,2.721,4.082,0.5714,0.8571,6.295,3.289,3.629
medium_multi,dense,3.401,4.082,0.2381,0.2857,9.66,4.925,5.138
medium_multi,tfidf_dense,1.361,2.041,0.2886,0.4329,2.601,1.095,1.294
medium_multi,bm25_dense,0,1.361,0,0.2915,1.955,0,0.848
medium_multi,dense_tfidf,2.041,4.082,0.4405,0.8811,8.558,3.475,4.52
medium_multi,dense_bm25,1.361,4.082,0.2999,0.8996,6.333,2.363,4.228
hard_single,tfidf,5.556,11.11,0.4545,0.9091,4.545,2.787,6.025
hard_single,bm25,11.11,11.11,0.9091,0.9091,4.545,6.316,6.316
hard_single,dense,11.11,22.22,0.303,0.6061,20.79,8.532,11.57
hard_single,tfidf_dense,11.11,16.67,1.015,1.523,7.645,6.316,9.052
hard_single,bm25_dense,11.11,27.78,1.183,2.959,8.268,6.316,15.58
hard_single,dense_tfidf,16.67,27.78,1.705,2.841,8.939,8.141,13.4
hard_single,dense_bm25,16.67,27.78,1.911,3.185,13.56,10.9,17.01
hard_multi,tfidf,8.333,8.333,0.8333,0.8333,5.556,5.11,5.11
hard_multi,bm25,4.167,4.167,0.4167,0.4167,2.778,2.555,2.555
hard_multi,dense,4.167,4.167,0.1389,0.1389,8.712,5.11,5.11
hard_multi,tfidf_dense,0,4.167,0,0.4202,0.9259,0,1.538
hard_multi,bm25_dense,0,0,0,0,0,0,0
hard_multi,dense_tfidf,4.167,8.333,0.4329,0.8658,5,3.224,4.701
hard_multi,dense_bm25,0,4.167,0,0.4673,0.9259,0,1.538
easy_single,tfidf,8.389,12.42,0.4941,0.7312,6.473,5.913,7.361
easy_single,bm25,8.389,15.44,0.4941,0.9091,6.363,5.909,8.245
easy_single,dense,15.1,21.14,0.8893,1.245,11.78,11.32,13.35
easy_single,tfidf_dense,2.013,10.4,0.1935,0.9997,2.614,0.8926,3.772
easy_single,bm25_dense,2.685,12.08,0.3073,1.383,3.1,1.47,4.662
easy_single,dense_tfidf,12.75,17.45,1.225,1.677,9.328,9.191,10.82
easy_single,dense_bm25,12.42,16.78,1.421,1.921,8.201,8.377,9.929
medium_single,tfidf,13.6,18.4,0.9341,1.264,12.22,11.06,12.67
medium_single,bm25,12,16,0.8242,1.099,11.7,11.45,12.89
medium_single,dense,15.2,23.2,0.348,0.5311,15.06,12.09,15.69
medium_single,tfidf_dense,3.2,5.6,0.2227,0.3898,2.404,1.814,3.195
medium_single,bm25_dense,3.2,8.8,0.2248,0.6183,3.224,2.141,4.97
medium_single,dense_tfidf,16.8,20.8,1.24,1.535,16.94,14.82,16.27
medium_single,dense_bm25,17.6,21.6,1.334,1.637,14.59,14.47,16.01
medium_multi,tfidf,0.6803,0.6803,0.1429,0.1429,3.212,1.752,1.752
medium_multi,bm25,2.721,4.082,0.5714,0.8571,6.295,3.289,3.629
medium_multi,dense,3.401,4.082,0.2381,0.2857,9.66,4.925,5.138
medium_multi,tfidf_dense,1.361,2.041,0.2886,0.4329,2.601,1.095,1.294
medium_multi,bm25_dense,0,1.361,0,0.2915,1.955,0,0.848
medium_multi,dense_tfidf,2.041,4.082,0.4405,0.8811,8.558,3.475,4.52
medium_multi,dense_bm25,1.361,4.082,0.2999,0.8996,6.333,2.363,4.228
hard_single,tfidf,5.556,11.11,0.4545,0.9091,4.545,2.787,6.025
hard_single,bm25,11.11,11.11,0.9091,0.9091,4.545,6.316,6.316
hard_single,dense,11.11,22.22,0.303,0.6061,20.79,8.532,11.57
hard_single,tfidf_dense,11.11,16.67,1.015,1.523,7.645,6.316,9.052
hard_single,bm25_dense,11.11,27.78,1.183,2.959,8.268,6.316,15.58
hard_single,dense_tfidf,16.67,27.78,1.705,2.841,8.939,8.141,13.4
hard_single,dense_bm25,16.67,27.78,1.911,3.185,13.56,10.9,17.01
hard_multi,tfidf,8.333,8.333,0.8333,0.8333,5.556,5.11,5.11
hard_multi,bm25,4.167,4.167,0.4167,0.4167,2.778,2.555,2.555
hard_multi,dense,4.167,4.167,0.1389,0.1389,8.712,5.11,5.11
hard_multi,tfidf_dense,0,4.167,0,0.4202,0.9259,0,1.538
hard_multi,bm25_dense,0,0,0,0,0,0,0
hard_multi,dense_tfidf,4.167,8.333,0.4329,0.8658,5,3.224,4.701
hard_multi,dense_bm25,0,4.167,0,0.4673,0.9259,0,1.538
