dataset,method,recall@5,recall@10,precision@5,precision@10,mrr,ndcg@5,ndcg@10
easy_single,tfidf,8.389,12.42,0.4941,0.7312,6.473,5.913,7.361
easy_single,bm25,8.389,15.44,0.4941,0.9091,6.363,5.909,8.245
easy_single,dense,15.44,22.82,0.9091,1.344,12.56,11.91,14.54
easy_single,tfidf_dense,15.44,19.8,1.479,1.896,11.54,11.57,13.1
easy_single,bm25_dense,15.1,18.79,1.76,2.19,11,11.07,12.4
easy_single,dense_tfidf,9.06,14.09,0.8359,1.3,7.196,6.693,8.495
easy_single,dense_bm25,10.07,15.44,0.9656,1.481,7.136,7.001,8.933
easy_single,dense_tfidf_parallel,15.44,22.82,0.9091,1.344,12.56,11.91,14.54
easy_single,dense_bm25_parallel,15.44,22.82,0.9091,1.344,12.56,11.91,14.54
medium_single,tfidf,13.6,18.4,0.9341,1.264,12.22,11.06,12.67
medium_single,bm25,12,16,0.8242,1.099,11.7,11.45,12.89
medium_single,dense,12,18.4,0.2747,0.4212,11.42,9.658,12.26
medium_single,tfidf_dense,12,13.6,0.8375,0.9492,11.33,12.37,14.12
medium_single,bm25_dense,11.2,14.4,0.8009,1.03,11.04,11.91,14.26
medium_single,dense_tfidf,13.6,17.6,1.179,1.526,12.41,11.28,12.76
medium_single,dense_bm25,12.8,16.8,1.146,1.504,11.8,11.88,13.27
medium_single,dense_tfidf_parallel,7.2,10.4,0.4945,0.7143,7.786,6.356,7.482
medium_single,dense_bm25_parallel,7.2,10.4,0.4945,0.7143,7.786,6.356,7.482
medium_multi,tfidf,0.6803,0.6803,0.1429,0.1429,3.212,1.752,1.752
medium_multi,bm25,2.721,4.082,0.5714,0.8571,6.295,3.289,3.629
medium_multi,dense,2.721,6.803,0.1905,0.4762,7.385,3.482,5.285
medium_multi,tfidf_dense,2.721,7.483,0.5952,1.637,7.412,3.924,6.076
medium_multi,bm25_dense,2.721,5.442,0.59,1.18,8.806,4.056,5.324
medium_multi,dense_tfidf,0.6803,1.361,0.2732,0.5464,3.363,1.752,2.002
medium_multi,dense_bm25,2.721,4.762,0.8621,1.509,6.603,3.366,4.122
medium_multi,dense_tfidf_parallel,0.6803,1.361,0.1429,0.2857,1.641,0.7545,0.9634
medium_multi,dense_bm25_parallel,0.6803,1.361,0.1429,0.2857,1.641,0.7545,0.9634
hard_single,tfidf,5.556,11.11,0.4545,0.9091,4.545,2.787,6.025
hard_single,bm25,11.11,11.11,0.9091,0.9091,4.545,6.316,6.316
hard_single,dense,16.67,27.78,0.4545,0.7576,11.64,8.342,12.6
hard_single,tfidf_dense,11.11,27.78,1.02,2.551,16.36,7.707,15.16
hard_single,bm25_dense,5.556,22.22,0.5682,2.273,13.9,5.574,13.36
hard_single,dense_tfidf,5.556,11.11,0.6211,1.242,4.545,2.787,6.025
hard_single,dense_bm25,11.11,11.11,1.46,1.46,5.303,6.946,6.946
hard_single,dense_tfidf_parallel,11.11,16.67,0.9091,1.364,12.21,7.224,9.082
hard_single,dense_bm25_parallel,11.11,16.67,0.9091,1.364,12.21,7.224,9.082
hard_multi,tfidf,8.333,8.333,0.8333,0.8333,5.556,5.11,5.11
hard_multi,bm25,4.167,4.167,0.4167,0.4167,2.778,2.555,2.555
hard_multi,dense,4.167,4.167,0.1389,0.1389,8.333,5.11,5.11
hard_multi,tfidf_dense,4.167,4.167,0.4255,0.4255,2.083,2.201,3.678
hard_multi,bm25_dense,4.167,4.167,0.4292,0.4292,2.778,2.555,4.258
hard_multi,dense_tfidf,8.333,8.333,1.351,1.351,6.944,5.779,5.779
hard_multi,dense_bm25,0,0,0,0,0,0,0
hard_multi,dense_tfidf_parallel,0,0,0,0,0,0,0
hard_multi,dense_bm25_parallel,0,0,0,0,0,0,0
